date,municipio_residencia_paciente_sp,n_internacoes
2019-12-01,353860,14
2019-12-01,230440,7
2019-12-01,355220,8
2019-12-01,351760,45
2019-12-01,352990,37
2019-12-01,290360,8
2019-12-01,231290,13
2019-12-01,330250,48
2019-12-01,270020,21
2019-12-01,350920,13
2019-12-01,290350,19
2019-12-01,354980,56
2019-12-01,210275,7
2019-12-01,350055,5
2019-12-01,354400,17
2019-12-01,353760,25
2019-12-01,352850,41
2019-12-01,350660,6
2019-12-01,352520,16
2019-12-01,330080,29
2019-12-01,270430,67
2019-12-01,353430,18
2019-12-01,351370,36
2019-12-01,313490,98
2019-12-01,354140,21
2019-12-01,351440,2
2019-12-01,350050,14
2019-12-01,350400,3
2019-12-01,230130,14
2019-12-01,355620,22
2019-12-01,353470,31
2019-12-01,350315,28
2019-12-01,354880,15
2019-12-01,312870,20
2019-12-01,354940,34
2019-12-01,150835,13
2019-12-01,355210,12
2019-12-01,352400,21
2019-12-01,350390,26
2019-12-01,280050,14
2019-12-01,352320,18
2019-12-01,352250,78
2019-12-01,353110,4
2019-12-01,314625,18
2019-12-01,354730,9
2019-12-01,510760,6
2019-12-01,354340,10
2019-12-01,352670,23
2019-12-01,500270,9
2019-12-01,351050,14
2019-12-01,292290,21
2019-12-01,250750,15
2019-12-01,354190,27
2019-12-01,353700,2
2019-12-01,351150,35
2019-12-01,500370,4
2019-12-01,353800,49
2019-12-01,312080,3
2019-12-01,350320,14
2019-12-01,352840,40
2019-12-01,310620,3
2020-01-01,351620,42
2020-01-01,354780,503
2020-01-01,355030,149441
2020-01-01,354340,19
2020-01-01,352620,3
2020-01-01,351440,2
2020-01-01,352940,342
2020-01-01,351535,2
2020-01-01,351880,1964
2020-01-01,353440,878
2020-01-01,352590,18
2020-01-01,351500,277
2020-01-01,350050,4
2020-01-01,350170,7
2020-01-01,350190,63
2020-01-01,354210,4
2020-01-01,355220,66
2020-01-01,520970,2
2020-01-01,355280,405
2020-01-01,353060,291
2020-01-01,351060,262
2020-01-01,351360,40
2020-01-01,310120,16
2020-01-01,130260,115
2020-01-01,351380,582
2020-01-01,351640,66
2020-01-01,351570,142
2020-01-01,354880,51
2020-01-01,355240,33
2020-01-01,350390,13
2020-01-01,355450,2
2020-01-01,211130,75
2020-01-01,354870,353
2020-01-01,352220,881
2020-01-01,351840,64
2020-01-01,353980,123
2020-01-01,314330,7
2020-01-01,412020,9
2020-01-01,130040,3
2020-01-01,310530,3
2020-01-01,351110,8
2020-01-01,350410,184
2020-01-01,330455,65
2020-01-01,120020,69
2020-01-01,351630,105
2020-01-01,352310,314
2020-01-01,355060,75
2020-01-01,291640,35
2020-01-01,354980,27
2020-01-01,350810,11
2020-01-01,314800,5
2020-01-01,352250,66
2020-01-01,350635,29
2020-01-01,351870,116
2020-01-01,510250,33
2020-01-01,355100,229
2020-01-01,312870,7
2020-01-01,354580,21
2020-01-01,315860,4
2020-01-01,354330,161
2020-01-01,352230,66
2020-01-01,351300,378
2020-01-01,353860,4
2020-01-01,355400,75
2020-01-01,260790,16
2020-01-01,410765,4
2020-01-01,351470,3
2020-01-01,500270,14
2020-01-01,352850,158
2020-01-01,350570,209
2020-01-01,354990,209
2020-01-01,350950,141
2020-01-01,354170,31
2020-01-01,352530,12
2020-01-01,354100,250
2020-01-01,354850,107
2020-01-01,350900,30
2020-01-01,355250,142
2020-01-01,350960,48
2020-01-01,351510,98
2020-01-01,351970,45
2020-01-01,355620,76
2020-01-01,110025,4
2020-01-01,350010,12
2020-01-01,310930,3
2020-01-01,510760,6
2020-01-01,355410,54
2020-01-01,352500,32
2020-01-01,353110,5
2020-01-01,520870,107
2020-01-01,270800,15
2020-01-01,350710,24
2020-01-01,353340,36
2020-01-01,350610,15
2020-01-01,311130,25
2020-01-01,410940,38
2020-01-01,510600,16
2020-01-01,350130,12
2020-01-01,313370,10
2020-01-01,130290,10
2020-01-01,354730,87
2020-01-01,313890,3
2020-01-01,355500,4
2020-01-01,353200,3
2020-01-01,353930,37
2020-01-01,280290,33
2020-01-01,352930,31
